cpu_usage,memory_usage,heartbeat_status,dag_parse_time,recent_changes,scheduler_pod_status,worker_restarts,incident_class
81.6218442908627,84.77203795262267,0,9.834568744716773,3,1,0,Scheduler
77.24476444762566,33.44632188863726,1,22.320644599543044,4,0,9,Kubernetes
44.13547909154566,57.16513607928162,1,9.714318585008247,14,1,1,Configuration
87.50696241100601,40.789770854309516,0,12.066259789280593,6,1,1,Unknown
22.642274435768574,73.14642474513056,0,5.919630597794738,5,0,10,Kubernetes
45.76458338054723,51.45127243002051,1,12.666328401069213,0,0,12,Kubernetes
43.699921293315164,31.474114650014574,1,8.456144236615783,3,0,6,Kubernetes
86.13274409997773,96.91897946001497,0,13.057015466036418,4,1,3,Resource
57.884724362539124,53.908755798331896,1,9.279419671903103,17,1,2,Configuration
51.21930754635718,53.1668041996221,1,38.145831626920696,8,1,1,DAG Parsing
31.458769354702774,63.72354377740279,1,2.4597042766640094,12,1,2,Configuration
34.39705391557742,70.32567609773804,1,25.2721291824759,11,1,0,DAG Parsing
86.44150966207823,76.27780783071586,1,5.813061280650929,8,1,2,Scheduler
52.112669500331755,45.59449141501013,1,2.350813287284014,20,1,0,Configuration
44.65313892428594,53.39990405910722,1,42.68978566896478,15,1,0,DAG Parsing
68.65072612823789,68.5911933853434,1,52.0503689660619,8,1,1,DAG Parsing
60.30638897804236,68.54932125197824,1,5.560383444018928,8,1,1,Unknown
87.38466194358729,98.99088344088887,0,6.866799690513008,5,1,3,Resource
52.956871133355826,58.53109585377014,1,35.921361838097994,16,1,1,DAG Parsing
41.21457390076337,31.700006197116682,1,9.482466246653221,19,1,1,Configuration
64.63193108312231,51.61736402334706,1,24.979000329775335,11,1,1,DAG Parsing
61.17711572213361,76.8787449019719,0,16.646476028281263,4,0,5,Kubernetes
86.69658009281459,76.63806847469033,0,19.08395005890656,2,1,2,Scheduler
87.28617115276215,89.9479792896679,0,16.3957902540807,3,1,4,Resource
94.51184421107102,96.75322208470693,0,14.812069122215865,5,1,5,Resource
78.97448451211571,70.31867167436913,0,17.1069240991157,7,1,0,Scheduler
33.97418498424521,63.99880929184499,1,41.7786344592858,16,1,1,DAG Parsing
72.25757188921459,71.83723680986137,0,13.048584624035886,7,1,2,Scheduler
67.64519475408919,54.80278995173592,1,56.63374683888575,6,1,1,DAG Parsing
36.03829605572307,42.390019047351466,1,37.68832255345139,10,1,1,DAG Parsing
20.75989829356995,36.86058986987904,0,8.276652618708152,5,0,12,Kubernetes
46.56734951530899,47.54491378682114,1,40.49385223204419,11,1,1,DAG Parsing
87.0623729574544,94.46052471899614,0,19.143391274069195,0,1,2,Resource
95.15708999336326,87.46531139276055,1,9.878258931039854,2,1,5,Resource
83.51683953387237,76.3937426149306,1,11.458944952739497,7,0,8,Unknown
90.70027668962814,58.95006689114837,0,10.584234800129709,6,1,1,Unknown
87.63242370757698,97.84219756410187,0,21.53979650552619,8,1,3,Resource
55.89221427877227,42.30691489979011,1,23.780237900603773,16,1,1,DAG Parsing
57.61122654990254,47.604438964414655,1,37.78783439116334,9,1,1,DAG Parsing
27.950694574193598,66.32055560449004,0,7.074262114767389,7,0,13,Kubernetes
43.296495260327504,31.765950241321214,0,11.863340992711464,3,0,14,Kubernetes
94.5226081830424,95.45933466682837,0,20.913558532956905,6,1,2,Resource
71.42198949321711,75.23485490980255,0,6.027819990556885,1,1,1,Scheduler
74.53722868057815,77.55988875833563,1,19.535828540985555,7,1,2,Scheduler
42.41544680500239,77.09616067340208,1,16.72033326343181,5,0,8,Kubernetes
42.465494788168655,51.35340122274493,1,57.65629695880221,15,1,0,DAG Parsing
52.226734462303604,36.18125468308645,1,5.996782608894805,20,1,2,Configuration
76.97320622981175,73.52406000581311,1,13.547744670174833,6,1,2,Scheduler
86.54939391012437,86.34428262940581,1,6.861285209197483,9,1,3,Resource
92.18374719718562,42.47088433670867,0,6.141649388240777,5,1,2,Unknown
32.78341684993346,65.9339170691447,1,58.87241275032076,7,1,2,DAG Parsing
57.12191000665335,33.71474396544904,1,8.295135181300559,14,1,2,Configuration
33.899003554370296,58.54302078245412,1,3.810364103696549,13,1,1,Configuration
36.17011045284486,46.32960885090438,1,47.713825634449066,15,1,0,DAG Parsing
87.82720676855114,98.1281226193559,0,5.64434629819962,10,1,4,Resource
58.57176016259097,54.951872676155745,1,25.570956222379706,12,1,1,Unknown
97.06114692936073,89.9431257441889,0,13.612324418943444,10,1,5,Resource
43.99255187482731,60.72134232100388,1,6.251439601381374,11,1,0,Configuration
44.043989398294414,73.53781721490026,1,45.81771904678256,8,1,0,DAG Parsing
24.795139706190863,32.74706504235733,1,9.646237472499852,17,1,2,Configuration
96.58251106202034,89.43069221057614,0,19.262170653567715,1,1,3,Resource
93.51942802996743,86.60951036160307,0,10.691233047000924,10,1,5,Resource
86.30106654772534,95.03883780114931,0,24.63370384881077,7,1,3,Resource
32.08719213044019,56.82067294116388,1,34.8484842641773,20,1,0,DAG Parsing
61.091121628083606,78.62483213428408,0,7.687710419368809,7,0,9,Kubernetes
68.42647079944219,43.59902975106769,0,10.258993016529566,1,0,11,Kubernetes
42.33677567405026,47.71814524258836,1,59.37782633284478,6,1,0,DAG Parsing
81.45713806546465,89.95363322563327,0,6.098910816494495,3,1,2,Scheduler
85.43648654006807,67.04310729306064,0,19.96138884434323,1,1,3,Scheduler
86.84746496574567,55.24894967465931,0,11.11981597669024,4,1,2,Unknown
57.842879543039345,44.857744213636515,1,48.221447011563214,13,1,2,DAG Parsing
94.79373133035817,45.692174636588845,0,8.250902866810026,6,1,1,Unknown
85.86111206807058,84.07167031622213,1,16.405804076289154,8,0,5,Unknown
87.67710443506168,93.05887729597002,1,7.5469417464521715,3,1,1,Resource
39.73265899290935,60.610495090601916,1,40.95850172002527,12,1,1,DAG Parsing
98.71495748346234,90.56057382146888,0,5.914308959621895,3,1,2,Resource
38.17692497414927,73.08634305293253,1,50.69398109234416,18,1,1,DAG Parsing
90.00650822868879,49.159725242955616,0,14.263499730264336,2,1,0,Unknown
96.08979040860406,89.48851513792478,0,15.146299724025932,8,1,5,Resource
40.55387411098295,43.2019379468426,1,5.428062515205874,18,1,1,Configuration
52.5274760912596,38.77783838303254,0,6.8051475370180565,3,0,13,Kubernetes
82.45938761767988,81.49809977975373,0,11.232355144030295,7,1,3,Scheduler
56.19687589973856,69.17925791537125,1,44.62608856204625,10,1,0,DAG Parsing
85.28571293019913,53.27098270607609,0,13.603688174133925,4,1,1,Unknown
31.313159771175897,61.896757432001635,1,8.57687251391973,15,1,2,Configuration
96.08029783402954,97.7549965236339,0,23.26459451339705,2,1,4,Resource
20.744801425489477,55.184155482643106,1,7.293960501033265,14,1,0,Configuration
41.27028623372606,56.14016373720958,1,23.057020293149076,20,1,1,Unknown
29.74681229685078,34.47597902321836,1,6.738781282969065,12,1,2,Configuration
43.77486732618744,66.50206945450853,1,8.865232261357352,5,1,2,Unknown
90.61691380957402,98.3700040782779,0,22.39240570621417,6,1,4,Resource
43.14238213728922,45.16439629795053,1,56.021241425270325,6,1,1,DAG Parsing
90.51315854653255,88.31273859953082,0,14.563637994704479,7,1,5,Resource
88.66398376792613,70.16145761405659,0,12.02497083279043,1,1,1,Scheduler
35.35739775969259,49.256551492681965,1,34.63110559101604,12,1,1,DAG Parsing
41.69965913722275,52.29071022036186,1,7.682821817124203,15,1,2,Configuration
89.62633426430392,90.39466926971262,0,14.32008133807901,7,1,3,Resource
89.58070003803249,87.74566777497225,1,7.8271708653606265,6,1,4,Resource
27.857277173767876,55.67406159655566,1,7.012951080588244,11,1,0,Configuration
98.57811361470038,99.67259596020831,1,15.422090615269976,10,1,4,Resource
36.506179841049914,52.60760262460306,1,6.100421556380696,12,1,0,Configuration
41.36587895512455,65.33067792508616,1,46.262563456419116,20,1,2,DAG Parsing
56.89407779379789,50.878667687407585,1,2.5507431763299575,16,1,1,Configuration
33.27890502218927,56.85957399525887,1,6.799609212466101,20,1,1,Configuration
21.527316267222417,54.86864142025601,1,10.188525454239779,6,0,10,Kubernetes
32.42200356666435,49.65585043015554,1,58.72827503745547,19,1,1,DAG Parsing
27.78985978174488,57.438580587379796,1,6.084382803190566,13,1,2,Configuration
88.61453248470262,94.29671263617902,0,21.304287814265653,4,1,4,Resource
25.57707892624534,70.74821447682481,0,7.2766399980749945,6,0,11,Kubernetes
75.45396198317765,82.13001543054958,1,17.179781287302262,5,0,5,Unknown
55.73362736821955,41.09027238286204,1,59.94347020357308,19,1,1,DAG Parsing
28.774552592743508,44.376839816788994,1,3.141697096503738,19,1,0,Configuration
87.34184184958582,68.64653386084368,1,17.20349052106959,8,1,0,Scheduler
39.98446612373591,43.97070144047563,1,49.4269943791771,13,1,2,DAG Parsing
27.98666156377237,55.74001728349907,1,8.981939987266383,13,1,0,Configuration
81.21061709286558,80.00688385400736,0,10.169459019670446,6,0,8,Unknown
36.30998544501141,49.28577448796571,1,20.997981938979002,2,0,5,Kubernetes
58.210310375903774,48.57743765294861,1,22.497299025482928,16,1,2,Unknown
91.60067336071471,68.28742208466123,1,10.098128646714432,8,1,2,Scheduler
28.69370228078636,37.33994436894257,1,7.715076285039156,20,1,1,Configuration
72.27273530434485,61.413491262742035,0,7.292619790223916,2,1,3,Scheduler
91.70121966244724,95.55649187733809,0,23.34489413561951,1,1,1,Resource
88.40115904239094,49.669438858693994,0,13.738790938528474,4,1,1,Unknown
27.996096690588672,56.25647565345188,1,3.28748315474584,14,1,2,Configuration
26.74558043623921,40.96251732570029,1,8.285280896516186,20,1,1,Configuration
